level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,12,1,4,2,613,712,63,16,91.960182,0.60m
4,1,12,1,5,0,522,793,71,21,-1,
5,1,12,1,5,1,522,793,36,21,90.655197,Fig.
5,1,12,1,5,2,567,793,26,16,91.056091,3.1
2,1,13,0,0,0,150,842,908,72,-1,
3,1,13,1,0,0,150,842,908,72,-1,
4,1,13,1,1,0,150,842,787,24,-1,
5,1,13,1,1,1,150,845,37,16,96.745186,The
5,1,13,1,1,2,195,845,58,21,96.677673,speed
5,1,13,1,1,3,262,845,17,16,96.283997,of
5,1,13,1,1,4,286,845,29,16,96.283997,the
5,1,13,1,1,5,323,845,58,16,96.684647,sound
5,1,13,1,1,6,390,845,15,16,96.964684,in
5,1,13,1,1,7,413,845,29,16,96.964684,the
5,1,13,1,1,8,450,845,42,16,96.865189,tube
5,1,13,1,1,9,500,845,14,16,92.643166,is
5,1,13,1,1,10,522,842,94,19,0.000000,340ms~*.
5,1,13,1,1,11,624,845,37,16,96.837692,The
5,1,13,1,1,12,669,845,58,21,96.763313,length
5,1,13,1,1,13,735,845,18,16,96.770683,of
5,1,13,1,1,14,760,845,29,16,96.417915,the
5,1,13,1,1,15,797,845,41,16,95.178902,tube
5,1,13,1,1,16,847,845,14,16,92.335526,is
5,1,13,1,1,17,869,845,68,16,87.782822,0.60m.
4,1,13,1,2,0,150,872,908,21,-1,
5,1,13,1,2,1,150,872,14,16,94.516029,A
5,1,13,1,2,2,172,872,95,21,94.516029,stationary
5,1,13,1,2,3,276,876,50,12,96.707100,wave
5,1,13,1,2,4,337,872,14,16,96.942841,is
5,1,13,1,2,5,360,872,67,16,96.792465,formed
5,1,13,1,2,6,437,872,38,16,96.601372,with
5,1,13,1,2,7,485,876,22,12,93.190414,an
5,1,13,1,2,8,518,872,83,16,92.404640,antinode
5,1,13,1,2,9,609,872,14,16,96.859047,A
5,1,13,1,2,10,631,873,18,15,96.897575,at
5,1,13,1,2,11,658,872,46,16,96.675140,each
5,1,13,1,2,12,714,872,35,16,96.790459,end
5,1,13,1,2,13,759,872,17,16,96.965736,of
5,1,13,1,2,14,785,872,30,16,96.471825,the
5,1,13,1,2,15,824,872,42,16,96.472275,tube
5,1,13,1,2,16,876,872,34,16,96.693428,and
5,1,13,1,2,17,920,873,34,15,91.793167,two
5,1,13,1,2,18,963,872,95,16,91.793167,antinodes
4,1,13,1,3,0,151,898,147,16,-1,
5,1,13,1,3,1,151,898,56,16,96.986809,inside
5,1,13,1,3,2,214,898,30,16,96.999039,the
5,1,13,1,3,3,251,898,47,16,96.534073,tube.
2,1,14,0,0,0,151,950,617,21,-1,
3,1,14,1,0,0,151,950,617,21,-1,
4,1,14,1,1,0,151,950,617,21,-1,
5,1,14,1,1,1,151,950,19,20,63.074955,(i)
5,1,14,1,1,2,197,950,49,16,63.074955,State
5,1,14,1,1,3,254,950,46,16,94.396942,what
5,1,14,1,1,4,308,950,14,16,94.396942,is
5,1,14,1,1,5,330,951,60,15,96.348412,meant
5,1,14,1,1,6,398,950,22,21,96.911118,by
5,1,14,1,1,7,427,954,22,12,93.042603,an
5,1,14,1,1,8,458,950,85,16,91.889069,antinode
5,1,14,1,1,9,549,950,17,16,96.836205,of
5,1,14,1,1,10,573,950,30,16,96.998222,the
5,1,14,1,1,11,611,950,95,21,96.605873,stationary
5,1,14,1,1,12,713,954,55,12,96.131393,wave.
2,1,15,0,0,0,198,1012,863,67,-1,
3,1,15,1,0,0,198,1012,863,67,-1,
4,1,15,1,1,0,198,1012,863,67,-1,
5,1,15,1,1,1,198,1012,863,67,95.000000, 
2,1,16,0,0,0,151,1108,646,21,-1,
3,1,16,1,0,0,151,1108,646,21,-1,
4,1,16,1,1,0,151,1108,646,21,-1,
5,1,16,1,1,1,151,1108,25,20,79.001305,(ii)
5,1,16,1,1,2,197,1108,49,16,93.398109,State
5,1,16,1,1,3,254,1108,29,16,96.795822,the
5,1,16,1,1,4,291,1108,81,16,96.191895,distance
5,1,16,1,1,5,381,1108,81,16,96.630074,between
5,1,16,1,1,6,470,1112,11,12,96.162132,a
5,1,16,1,1,7,489,1108,47,16,95.929535,node
5,1,16,1,1,8,544,1108,35,16,95.987114,and
5,1,16,1,1,9,587,1112,23,12,96.945808,an
5,1,16,1,1,10,618,1108,83,21,93.202621,adjacent
5,1,16,1,1,11,708,1108,89,16,72.749847,antinode.
2,1,17,0,0,0,558,1213,121,16,-1,
3,1,17,1,0,0,558,1213,121,16,-1,
